time	Ix(U1:TE)/V(vin)
1.091104890767891e-02	5.577002e-03
1.091171272180070e-02	5.607088e-03
1.091187867533115e-02	5.614633e-03
1.091221058239205e-02	5.629792e-03
1.091287439651385e-02	5.660186e-03
1.091304035004430e-02	5.667809e-03
1.091337225710520e-02	5.683122e-03
1.091403607122700e-02	5.713826e-03
1.091420202475745e-02	5.721526e-03
1.091453393181835e-02	5.736995e-03
1.091519774594015e-02	5.768009e-03
1.091536369947060e-02	5.775787e-03
1.091569560653150e-02	5.791411e-03
1.091635942065330e-02	5.822737e-03
1.091652537418374e-02	5.830593e-03
1.091685728124464e-02	5.846374e-03
1.091752109536644e-02	5.878111e-03
1.091884872361004e-02	5.941898e-03
1.091918063067094e-02	5.957944e-03
1.091984444479274e-02	5.990310e-03
1.092117207303634e-02	6.055359e-03
1.092150398009724e-02	6.071720e-03
1.092216779421904e-02	6.104722e-03
1.092349542246264e-02	6.171042e-03
1.092382732952354e-02	6.187723e-03
1.092449114364533e-02	6.221365e-03
1.092581877188893e-02	6.288968e-03
1.092615067894983e-02	6.305971e-03
1.092681449307163e-02	6.340260e-03
1.092814212131523e-02	6.409160e-03
1.092847402837613e-02	6.426488e-03
1.092913784249793e-02	6.461432e-03
1.093046547074153e-02	6.532066e-03
1.093312072722872e-02	6.674650e-03
1.093378454135052e-02	6.710715e-03
1.093511216959412e-02	6.784036e-03
1.093776742608132e-02	6.932024e-03
1.093843124020312e-02	6.969451e-03
1.093975886844672e-02	7.045530e-03
1.094241412493391e-02	7.199072e-03
1.094307793905571e-02	7.237900e-03
1.094440556729931e-02	7.316818e-03
1.094706082378651e-02	7.477955e-03
1.095237133676090e-02	7.806060e-03
1.095369896500450e-02	7.889967e-03
1.095635422149169e-02	8.063201e-03
1.096166473446609e-02	8.415864e-03
1.096299236270968e-02	8.506034e-03
1.096564761919688e-02	8.692145e-03
1.097095813217127e-02	9.079881e-03
1.098157915812006e-02	9.882235e-03
1.098388176335505e-02	1.006368e-02
1.098848697382504e-02	1.044138e-02
1.099078957906003e-02	1.063527e-02
1.099539478953002e-02	1.103546e-02
1.100000000000000e-02	1.144298e-02
1.100046052104700e-02	1.144240e-02
1.100138156314099e-02	1.144133e-02
1.100161182366449e-02	1.144110e-02
1.100207234471149e-02	1.144069e-02
1.100299338680549e-02	1.143994e-02
1.100322364732899e-02	1.143977e-02
1.100368416837598e-02	1.143946e-02
1.100460521046998e-02	1.143891e-02
1.100644729465797e-02	1.143794e-02
1.100690781570497e-02	1.143773e-02
1.100782885779897e-02	1.143736e-02
1.100967094198696e-02	1.143670e-02
1.101335511036295e-02	1.143566e-02
1.102072344711492e-02	1.143414e-02
1.103546012061886e-02	1.143217e-02
1.106493346762676e-02	1.142986e-02
1.112388016164254e-02	1.142734e-02
1.124177354967410e-02	1.142473e-02
1.147756032573723e-02	1.142211e-02
1.194913387786349e-02	1.141952e-02
1.289228098211601e-02	1.141698e-02
1.477857519062104e-02	1.141439e-02
1.722741158298993e-02	1.141242e-02
1.822741158298993e-02	1.141186e-02
1.900000000000000e-02	1.141152e-02
2.009035366804027e-02	1.141110e-02
2.100000000000000e-02	1.141078e-02
2.109096463319597e-02	7.012088e-03
2.127289389958792e-02	2.768651e-03
2.163675243237180e-02	5.366380e-04
2.200000000000000e-02	1.306578e-07
3.000000000000000e-02	0.000000e+00
3.001000000000000e-02	4.198536e-07
3.003000000000000e-02	1.866365e-06
3.006000000000000e-02	1.127082e-05
3.010000000000000e-02	2.596428e-05
3.110000000000000e-02	2.596398e-05
3.110920000000000e-02	1.915772e-05
3.112760000000001e-02	1.094330e-05
3.116440000000002e-02	4.084137e-06
3.120000000000000e-02	1.306579e-07
3.200000000000000e-02	0.000000e+00
3.203478800000002e-02	2.369160e-07
3.210436400000007e-02	1.459801e-06
3.224351600000015e-02	4.752398e-05
3.252182000000033e-02	4.087146e-03
3.300000000000000e-02	1.141108e-02
3.304781799999997e-02	1.141106e-02
3.314345399999991e-02	1.141103e-02
3.333472599999977e-02	1.141096e-02
3.371726999999951e-02	1.141083e-02
3.448235799999900e-02	1.141059e-02
3.601253399999796e-02	1.141015e-02
3.907288599999588e-02	1.140939e-02
4.114577199999176e-02	1.140895e-02
4.143731599997528e-02	1.140890e-02
4.202040399994231e-02	1.140879e-02
4.300000000000000e-02	1.140861e-02
4.309795960000577e-02	6.860217e-03
4.329387880001731e-02	2.426652e-03
4.360816159997692e-02	4.450340e-04
4.400000000000000e-02	0.000000e+00
5.200000000000000e-02	0.000000e+00
5.200975762977264e-02	4.042106e-07
5.202927288931793e-02	1.921853e-06
5.206096948090944e-02	1.163862e-05
5.210000000000000e-02	2.598055e-05
5.310000000000000e-02	2.598024e-05
5.311000000000000e-02	1.881636e-05
5.313000000000000e-02	9.802285e-06
5.316000000000000e-02	3.817591e-06
5.320000000000000e-02	0.000000e+00
5.400000000000000e-02	0.000000e+00
5.402920000000000e-02	1.987726e-07
5.408760000000000e-02	8.227918e-07
5.420440000000001e-02	1.815175e-05
5.443800000000002e-02	8.697620e-05
5.453279999999998e-02	3.135856e-04
5.472239999999989e-02	3.740563e-03
5.500000000000000e-02	1.140897e-02
5.512293714285719e-02	1.140895e-02
5.524587428571438e-02	1.140893e-02
5.536881142857157e-02	1.140890e-02
5.549174857142876e-02	1.140888e-02
5.561468571428595e-02	1.140886e-02
5.573762285714314e-02	1.140883e-02
5.586056000000033e-02	1.140881e-02
5.674888000000067e-02	1.140865e-02
5.852552000000136e-02	1.140836e-02
6.300000000000000e-02	1.140770e-02
6.389343999999725e-02	1.140759e-02
6.500000000000000e-02	1.140745e-02
6.510000000000001e-02	6.818333e-03
6.530000000000001e-02	2.329400e-03
6.559999999999999e-02	4.217578e-04
6.600000000000000e-02	0.000000e+00
7.400000000000000e-02	0.000000e+00
7.400999999999999e-02	4.199608e-07
7.403000000000000e-02	1.867479e-06
7.406000000000000e-02	1.128105e-05
7.410000000000000e-02	2.598930e-05
7.510000000000000e-02	2.598900e-05
7.510920000000000e-02	1.917546e-05
7.512760000000000e-02	1.095265e-05
7.516440000000001e-02	4.087100e-06
7.520000000000000e-02	0.000000e+00
7.600000000000000e-02	0.000000e+00
7.603478800000001e-02	2.368833e-07
7.610436400000001e-02	1.459412e-06
7.624351600000003e-02	4.751016e-05
7.652182000000006e-02	4.085973e-03
7.700000000000000e-02	1.140780e-02
7.721176542857140e-02	1.140778e-02
7.742353085714281e-02	1.140775e-02
7.763529628571421e-02	1.140772e-02
7.784706171428560e-02	1.140769e-02
7.805882714285700e-02	1.140767e-02
7.827059257142840e-02	1.140764e-02
7.848235799999981e-02	1.140761e-02
8.001253399999961e-02	1.140743e-02
8.307288599999922e-02	1.140707e-02
8.407288599999922e-02	1.140696e-02
8.499999999999999e-02	1.140687e-02
8.543731599999538e-02	1.140682e-02
8.699999999999999e-02	1.140667e-02
8.709795960000107e-02	6.859049e-03
8.729387880000322e-02	2.426238e-03
