time	V(n001)
6.999348000000000e-02	-3.000000e+00
6.999604000000000e-02	-3.000000e+00
6.999899999999999e-02	-3.000000e+00
6.999909999999999e-02	-2.700000e+00
6.999930000000000e-02	-2.100000e+00
6.999970000000000e-02	-9.000000e-01
6.999999999999999e-02	0.000000e+00
7.998999999999999e-02	0.000000e+00
7.999009999999999e-02	-3.000000e-01
7.999030000000000e-02	-9.000000e-01
7.999070000000000e-02	-2.100000e+00
7.999099999999999e-02	-3.000000e+00
7.999107999999999e-02	-3.000000e+00
7.999123999999999e-02	-3.000000e+00
7.999155999999999e-02	-3.000000e+00
7.999219999999999e-02	-3.000000e+00
7.999347999999999e-02	-3.000000e+00
7.999603999999999e-02	-3.000000e+00
7.999900000000000e-02	-3.000000e+00
7.999910000000000e-02	-2.700000e+00
7.999930000000001e-02	-2.100000e+00
7.999970000000001e-02	-9.000000e-01
8.000000000000000e-02	0.000000e+00
8.999000000000000e-02	0.000000e+00
8.999010000000000e-02	-3.000000e-01
8.999030000000001e-02	-9.000000e-01
8.999070000000001e-02	-2.100000e+00
8.999100000000000e-02	-3.000000e+00
8.999108000000000e-02	-3.000000e+00
8.999124000000000e-02	-3.000000e+00
8.999156000000000e-02	-3.000000e+00
8.999219999999999e-02	-3.000000e+00
8.999348000000000e-02	-3.000000e+00
8.999604000000000e-02	-3.000000e+00
8.999900000000000e-02	-3.000000e+00
8.999910000000000e-02	-2.700000e+00
8.999930000000000e-02	-2.100000e+00
8.999970000000000e-02	-9.000000e-01
9.000000000000000e-02	0.000000e+00
9.999000000000000e-02	0.000000e+00
9.999010000000000e-02	-3.000000e-01
9.999030000000000e-02	-9.000000e-01
9.999070000000000e-02	-2.100000e+00
9.999100000000000e-02	-3.000000e+00
9.999108000000000e-02	-3.000000e+00
9.999124000000000e-02	-3.000000e+00
9.999155999999999e-02	-3.000000e+00
9.999219999999999e-02	-3.000000e+00
9.999348000000000e-02	-3.000000e+00
9.999603999999999e-02	-3.000000e+00
9.999899999999999e-02	-3.000000e+00
9.999909999999999e-02	-2.700000e+00
9.999930000000000e-02	-2.100000e+00
9.999970000000000e-02	-9.000000e-01
9.999999999999999e-02	0.000000e+00
1.099900000000000e-01	0.000000e+00
1.099901000000000e-01	-3.000000e-01
1.099903000000000e-01	-9.000000e-01
1.099907000000000e-01	-2.100000e+00
1.099910000000000e-01	-3.000000e+00
1.099910800000000e-01	-3.000000e+00
1.099912400000000e-01	-3.000000e+00
1.099915600000000e-01	-3.000000e+00
1.099922000000000e-01	-3.000000e+00
1.099934800000000e-01	-3.000000e+00
1.099960400000000e-01	-3.000000e+00
1.099990000000000e-01	-3.000000e+00
1.099991000000000e-01	-2.700000e+00
